/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:2.5 CYCLES:2480 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:2.5 CYCLES:2480 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.7 CYCLES:2634 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2284 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:2.5 CYCLES:2452 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 95.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.4 CYCLES:2298 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 97.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.3 CYCLES:2270 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.4 CYCLES:2340 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2270 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.7 CYCLES:2620 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 92.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:2.5 CYCLES:2480 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:2.5 CYCLES:2480 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 94.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.7 CYCLES:2634 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 92.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2284 ICOUNT:975 IHITRATE: 99.6 DHITRATE: 97.6
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.1 CYCLES:41 ICOUNT:10 IHITRATE: 82.4 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:7.7 CYCLES:54 ICOUNT:7 IHITRATE: 82.6 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.4 CYCLES:40 ICOUNT:9 IHITRATE: 81.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:7.6 CYCLES:53 ICOUNT:7 IHITRATE: 81.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:4.6 CYCLES:41 ICOUNT:9 IHITRATE: 82.4 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:9.0 CYCLES:54 ICOUNT:6 IHITRATE: 82.6 DHITRATE: 75.0
